government_legitimacy,run,max_active_agents,avg_active_agents,num_rebellions,total_steps,,,,government_legitimacy,run,max_active_agents,avg_active_agents,num_rebellions,total_steps,total_steps
0,1,915,165.1592039800995,14,201,,,,0.6,1,782,171.66169154228857,7,201,201
0,2,978,174.10945273631842,11,201,,,,0.6,2,785,165.0497512437811,6,201,201
0,3,958,174.56716417910448,5,201,,,,0.6,3,796,164.24378109452735,11,201,201
0,4,934,164.318407960199,10,201,,,,0.6,4,851,174.52238805970148,10,201,201
0,5,957,170.83582089552237,9,201,,,,0.6,5,804,169.1144278606965,9,201,201
0,6,934,179.24378109452735,10,201,,,,0.6,6,809,172.0597014925373,10,201,201
0,7,911,177.98507462686567,8,201,,,,0.6,7,823,167.54726368159203,7,201,201
0,8,960,173.13930348258705,9,201,,,,0.6,8,804,166.53731343283582,11,201,201
0,9,927,165.40298507462686,9,201,,,,0.6,9,860,174.75124378109453,12,201,201
0,10,973,175.8955223880597,8,201,,,,0.6,10,847,167.83084577114428,10,201,201
0.2,1,940,176.53731343283582,7,201,,,,0.8,1,500,148.98009950248758,5,201,201
0.2,2,944,170.91542288557213,10,201,,,,0.8,2,542,152.29353233830847,10,201,201
0.2,3,963,170.75124378109453,10,201,,,,0.8,3,703,171.93034825870646,6,201,201
0.2,4,955,174.726368159204,9,201,,,,0.8,4,500,122.8905472636816,7,201,201
0.2,5,960,178.29850746268656,7,201,,,,0.8,5,395,141.34825870646767,6,201,201
0.2,6,943,168.5820895522388,10,201,,,,0.8,6,702,165.11940298507463,8,201,201
0.2,7,954,171.62686567164178,11,201,,,,0.8,7,618,168.3781094527363,10,201,201
0.2,8,972,177.85572139303483,7,201,,,,0.8,8,502,160.91044776119404,7,201,201
0.2,9,964,176.33333333333334,8,201,,,,0.8,9,634,168.82587064676616,9,201,201
0.2,10,888,164.66666666666666,13,201,,,,0.8,10,585,158.07960199004975,10,201,201
0.4,1,922,174.7860696517413,10,201,,,,,,,,,,
0.4,2,905,181.87562189054725,7,201,,,,,,,,,,
0.4,3,846,171.6218905472637,7,201,,,,,,,,,,
0.4,4,845,164.3134328358209,9,201,,,,,,,,,,
0.4,5,889,182.90049751243782,5,201,,,,,,,,,,
0.4,6,925,166.49751243781094,9,201,,,,,,,,,,
0.4,7,950,183.45771144278606,6,201,,,,,,,,,,
0.4,8,980,176.49253731343285,9,201,,,,,,,,,,
0.4,9,970,174.28358208955223,5,201,,,,,,,,,,
0.4,10,964,171.34825870646767,10,201,,,,,,,,,,
